caseid,applicant2_treat,APP_1_amt_1,APP_2_amt_1,STATE_amt_1,gender,applicant_2_char,applicant_2_name,applicant_2_rate,applicant_2_comp,applicant_2_high_comp,applicant_2_sex,female,applicant_1_rate,applicant_1_name,applicant_1_char
1781469193,5,750,750,0,2,Sammie (Exc),Sammie,Excellent,Low,0,Male,1,Excellent,Sandra,Sandra (Exc)
1782128351,1,750,750,0,2,Misty (Exc),Misty,Excellent,Low,0,Female,1,Excellent,Sandra,Sandra (Exc)
1782173499,3,600,500,400,1,James (Exc),James,Excellent,High,1,Male,0,Excellent,Sandra,Sandra (Exc)
1781845155,6,700,800,0,2,Sammie (Poor),Sammie,Poor,Low,0,Male,1,Excellent,Sandra,Sandra (Exc)
1781959561,2,500,500,500,2,Misty (Poor),Misty,Poor,Low,0,Female,1,Excellent,Sandra,Sandra (Exc)
1781468459,1,750,750,0,2,Misty (Exc),Misty,Excellent,Low,0,Female,1,Excellent,Sandra,Sandra (Exc)
1782179519,7,750,550,200,2,No Name (Exc),No Name,Excellent,None,2,None,1,Excellent,Sandra,Sandra (Exc)
1782164857,2,803,600,97,2,Misty (Poor),Misty,Poor,Low,0,Female,1,Excellent,Sandra,Sandra (Exc)
1782128299,5,500,591,409,2,Sammie (Exc),Sammie,Excellent,Low,0,Male,1,Excellent,Sandra,Sandra (Exc)
1782184221,2,750,750,0,2,Misty (Poor),Misty,Poor,Low,0,Female,1,Excellent,Sandra,Sandra (Exc)
1781509165,1,700,700,100,2,Misty (Exc),Misty,Excellent,Low,0,Female,1,Excellent,Sandra,Sandra (Exc)
1781838999,6,700,700,100,1,Sammie (Poor),Sammie,Poor,Low,0,Male,0,Excellent,Sandra,Sandra (Exc)
1780777433,6,515,329,656,2,Sammie (Poor),Sammie,Poor,Low,0,Male,1,Excellent,Sandra,Sandra (Exc)
1782179673,7,625,636,239,1,No Name (Exc),No Name,Excellent,None,2,None,0,Excellent,Sandra,Sandra (Exc)
1780734957,2,750,750,0,2,Misty (Poor),Misty,Poor,Low,0,Female,1,Excellent,Sandra,Sandra (Exc)
1782185331,7,750,750,0,2,No Name (Exc),No Name,Excellent,None,2,None,1,Excellent,Sandra,Sandra (Exc)
1782184689,3,700,700,100,1,James (Exc),James,Excellent,High,1,Male,0,Excellent,Sandra,Sandra (Exc)
1780390001,3,750,750,0,2,James (Exc),James,Excellent,High,1,Male,1,Excellent,Sandra,Sandra (Exc)
1782184461,7,0,0,1500,1,No Name (Exc),No Name,Excellent,None,2,None,0,Excellent,Sandra,Sandra (Exc)
1782184459,6,900,450,150,2,Sammie (Poor),Sammie,Poor,Low,0,Male,1,Excellent,Sandra,Sandra (Exc)
1781839279,5,750,750,0,2,Sammie (Exc),Sammie,Excellent,Low,0,Male,1,Excellent,Sandra,Sandra (Exc)
1782185337,1,400,900,200,2,Misty (Exc),Misty,Excellent,Low,0,Female,1,Excellent,Sandra,Sandra (Exc)
1782185175,5,754,746,0,2,Sammie (Exc),Sammie,Excellent,Low,0,Male,1,Excellent,Sandra,Sandra (Exc)
1781838657,6,462,444,594,2,Sammie (Poor),Sammie,Poor,Low,0,Male,1,Excellent,Sandra,Sandra (Exc)
1781275403,4,700,700,100,2,James (Poor),James,Poor,High,1,Male,1,Excellent,Sandra,Sandra (Exc)
1782149607,4,747,494,259,2,James (Poor),James,Poor,High,1,Male,1,Excellent,Sandra,Sandra (Exc)
1779670493,1,750,750,0,2,Misty (Exc),Misty,Excellent,Low,0,Female,1,Excellent,Sandra,Sandra (Exc)
1782179819,4,781,265,454,2,James (Poor),James,Poor,High,1,Male,1,Excellent,Sandra,Sandra (Exc)
1782185613,7,400,400,700,1,No Name (Exc),No Name,Excellent,None,2,None,0,Excellent,Sandra,Sandra (Exc)
1782128107,4,750,750,0,1,James (Poor),James,Poor,High,1,Male,0,Excellent,Sandra,Sandra (Exc)
1782185355,1,750,750,0,2,Misty (Exc),Misty,Excellent,Low,0,Female,1,Excellent,Sandra,Sandra (Exc)
1778131763,5,490,490,520,2,Sammie (Exc),Sammie,Excellent,Low,0,Male,1,Excellent,Sandra,Sandra (Exc)
1782195123,5,829,462,209,1,Sammie (Exc),Sammie,Excellent,Low,0,Male,0,Excellent,Sandra,Sandra (Exc)
1782127899,7,300,489,711,1,No Name (Exc),No Name,Excellent,None,2,None,0,Excellent,Sandra,Sandra (Exc)
1782128053,5,750,750,0,2,Sammie (Exc),Sammie,Excellent,Low,0,Male,1,Excellent,Sandra,Sandra (Exc)
1780500089,4,0,0,1500,1,James (Poor),James,Poor,High,1,Male,0,Excellent,Sandra,Sandra (Exc)
1778557815,7,750,750,0,2,No Name (Exc),No Name,Excellent,None,2,None,1,Excellent,Sandra,Sandra (Exc)
1782196051,1,0,0,1500,1,Misty (Exc),Misty,Excellent,Low,0,Female,0,Excellent,Sandra,Sandra (Exc)
1780328659,2,600,600,300,2,Misty (Poor),Misty,Poor,Low,0,Female,1,Excellent,Sandra,Sandra (Exc)
1782199529,1,887,567,46,2,Misty (Exc),Misty,Excellent,Low,0,Female,1,Excellent,Sandra,Sandra (Exc)
1782185493,3,185,185,1130,1,James (Exc),James,Excellent,High,1,Male,0,Excellent,Sandra,Sandra (Exc)
1782179827,1,750,750,0,1,Misty (Exc),Misty,Excellent,Low,0,Female,0,Excellent,Sandra,Sandra (Exc)
1782199383,7,750,750,0,2,No Name (Exc),No Name,Excellent,None,2,None,1,Excellent,Sandra,Sandra (Exc)
1781250459,5,700,700,100,2,Sammie (Exc),Sammie,Excellent,Low,0,Male,1,Excellent,Sandra,Sandra (Exc)
1782190223,6,900,600,0,2,Sammie (Poor),Sammie,Poor,Low,0,Male,1,Excellent,Sandra,Sandra (Exc)
1782199421,2,742,721,37,1,Misty (Poor),Misty,Poor,Low,0,Female,0,Excellent,Sandra,Sandra (Exc)
1782195995,3,750,750,0,2,James (Exc),James,Excellent,High,1,Male,1,Excellent,Sandra,Sandra (Exc)
1782190065,3,725,700,75,2,James (Exc),James,Excellent,High,1,Male,1,Excellent,Sandra,Sandra (Exc)
1778510831,3,750,750,0,2,James (Exc),James,Excellent,High,1,Male,1,Excellent,Sandra,Sandra (Exc)
1782199493,6,700,650,150,2,Sammie (Poor),Sammie,Poor,Low,0,Male,1,Excellent,Sandra,Sandra (Exc)
1782195329,5,650,650,200,1,Sammie (Exc),Sammie,Excellent,Low,0,Male,0,Excellent,Sandra,Sandra (Exc)
1782185267,3,700,700,100,1,James (Exc),James,Excellent,High,1,Male,0,Excellent,Sandra,Sandra (Exc)
1782201513,3,451,395,654,2,James (Exc),James,Excellent,High,1,Male,1,Excellent,Sandra,Sandra (Exc)
1782199379,1,750,750,0,1,Misty (Exc),Misty,Excellent,Low,0,Female,0,Excellent,Sandra,Sandra (Exc)
1780937815,6,784,529,187,2,Sammie (Poor),Sammie,Poor,Low,0,Male,1,Excellent,Sandra,Sandra (Exc)
1781377715,4,750,750,0,2,James (Poor),James,Poor,High,1,Male,1,Excellent,Sandra,Sandra (Exc)
1782195385,7,824,676,0,2,No Name (Exc),No Name,Excellent,None,2,None,1,Excellent,Sandra,Sandra (Exc)
1781347763,4,168,222,1110,2,James (Poor),James,Poor,High,1,Male,1,Excellent,Sandra,Sandra (Exc)
1782195021,5,505,504,491,2,Sammie (Exc),Sammie,Excellent,Low,0,Male,1,Excellent,Sandra,Sandra (Exc)
1778760671,2,700,800,0,2,Misty (Poor),Misty,Poor,Low,0,Female,1,Excellent,Sandra,Sandra (Exc)
1779507029,3,210,245,1045,1,James (Exc),James,Excellent,High,1,Male,0,Excellent,Sandra,Sandra (Exc)
1782201297,6,650,750,100,1,Sammie (Poor),Sammie,Poor,Low,0,Male,0,Excellent,Sandra,Sandra (Exc)
1782201631,2,0,0,1500,1,Misty (Poor),Misty,Poor,Low,0,Female,0,Excellent,Sandra,Sandra (Exc)
1782196113,6,666,834,0,1,Sammie (Poor),Sammie,Poor,Low,0,Male,0,Excellent,Sandra,Sandra (Exc)
1782207349,1,746,365,389,1,Misty (Exc),Misty,Excellent,Low,0,Female,0,Excellent,Sandra,Sandra (Exc)
1780829517,3,518,519,463,1,James (Exc),James,Excellent,High,1,Male,0,Excellent,Sandra,Sandra (Exc)
1782206491,7,700,700,100,1,No Name (Exc),No Name,Excellent,None,2,None,0,Excellent,Sandra,Sandra (Exc)
1782128143,5,550,549,401,2,Sammie (Exc),Sammie,Excellent,Low,0,Male,1,Excellent,Sandra,Sandra (Exc)
1782206579,2,800,500,200,1,Misty (Poor),Misty,Poor,Low,0,Female,0,Excellent,Sandra,Sandra (Exc)
1782201993,4,600,600,300,1,James (Poor),James,Poor,High,1,Male,0,Excellent,Sandra,Sandra (Exc)
1782195075,7,449,449,602,1,No Name (Exc),No Name,Excellent,None,2,None,0,Excellent,Sandra,Sandra (Exc)
1782206905,3,800,700,0,1,James (Exc),James,Excellent,High,1,Male,0,Excellent,Sandra,Sandra (Exc)
1781839241,5,729,738,33,1,Sammie (Exc),Sammie,Excellent,Low,0,Male,0,Excellent,Sandra,Sandra (Exc)
1782207161,4,750,750,0,1,James (Poor),James,Poor,High,1,Male,0,Excellent,Sandra,Sandra (Exc)
1782204267,1,300,300,900,1,Misty (Exc),Misty,Excellent,Low,0,Female,0,Excellent,Sandra,Sandra (Exc)
1780798667,6,600,600,300,1,Sammie (Poor),Sammie,Poor,Low,0,Male,0,Excellent,Sandra,Sandra (Exc)
1782165103,1,701,799,0,2,Misty (Exc),Misty,Excellent,Low,0,Female,1,Excellent,Sandra,Sandra (Exc)
1781934001,1,757,743,0,2,Misty (Exc),Misty,Excellent,Low,0,Female,1,Excellent,Sandra,Sandra (Exc)
1782128245,7,602,758,140,2,No Name (Exc),No Name,Excellent,None,2,None,1,Excellent,Sandra,Sandra (Exc)
1782207125,5,0,750,750,1,Sammie (Exc),Sammie,Excellent,Low,0,Male,0,Excellent,Sandra,Sandra (Exc)
1782060305,6,749,751,0,1,Sammie (Poor),Sammie,Poor,Low,0,Male,0,Excellent,Sandra,Sandra (Exc)
